task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
76	e3/c11a89	200050	calling_pipeline:medakaInference_consensus (41)	COMPLETED	0	2026-06-04 12:05:54.606	5.9s	2.7s	101.5%	365 MB	1.1 GB	38.9 MB	1.7 MB
89	21/b0657d	201625	calling_pipeline:medakaInference_consensus (54)	COMPLETED	0	2026-06-04 12:05:57.005	4.3s	2.8s	98.4%	359.3 MB	1.1 GB	38.8 MB	1.7 MB
75	48/9630bb	200636	calling_pipeline:medakaInference_consensus (40)	COMPLETED	0	2026-06-04 12:05:55.385	6.1s	3.4s	99.9%	367.6 MB	1.1 GB	38.8 MB	1.7 MB
82	b6/6ef629	201169	calling_pipeline:medakaInference_consensus (47)	COMPLETED	0	2026-06-04 12:05:56.382	5.2s	3.4s	101.7%	371.7 MB	1.1 GB	38.8 MB	1.7 MB
80	af/b12908	200974	calling_pipeline:medakaInference_consensus (45)	COMPLETED	0	2026-06-04 12:05:56.064	5.7s	3.6s	100.7%	381.4 MB	1.1 GB	38.9 MB	1.7 MB
85	c2/a47262	201543	calling_pipeline:medakaInference_consensus (50)	COMPLETED	0	2026-06-04 12:05:56.899	5.2s	3.3s	99.4%	382.3 MB	1.1 GB	38.8 MB	1.7 MB
83	7e/7841ee	201217	calling_pipeline:medakaInference_consensus (48)	COMPLETED	0	2026-06-04 12:05:56.477	5.8s	3.8s	107.8%	457 MB	1.2 GB	38.9 MB	2 MB
81	2b/8e5854	201067	calling_pipeline:medakaInference_consensus (46)	COMPLETED	0	2026-06-04 12:05:56.225	6.3s	4.2s	108.4%	477.3 MB	1.2 GB	38.9 MB	2 MB
87	15/e9d045	201378	calling_pipeline:medakaInference_consensus (52)	COMPLETED	0	2026-06-04 12:05:56.686	6s	4s	107.1%	521.2 MB	1.2 GB	38.9 MB	2.2 MB
118	95/ca83df	201881	calling_pipeline:medakaInference_consensus (83)	COMPLETED	0	2026-06-04 12:05:57.311	5.5s	3.7s	98.8%	365.9 MB	1.1 GB	38.8 MB	1.7 MB
84	15/eea23f	201459	calling_pipeline:medakaInference_consensus (49)	COMPLETED	0	2026-06-04 12:05:56.794	6.2s	4.3s	101.3%	402.1 MB	1.1 GB	38.9 MB	1.8 MB
92	b9/24deb9	201792	calling_pipeline:medakaInference_consensus (57)	COMPLETED	0	2026-06-04 12:05:57.197	5.9s	4.2s	107.5%	538.4 MB	1.2 GB	39 MB	2.2 MB
86	99/7f26a3	201297	calling_pipeline:medakaInference_consensus (51)	COMPLETED	0	2026-06-04 12:05:56.574	6.6s	4.5s	107.9%	479.3 MB	1.2 GB	38.9 MB	2 MB
